cod_unidade_gestora,nome_unidade_gestora
2,Prefeitura Municipal de Caruaru
3,Consórcio dos Municípios Pernambucanos - COMUPE
4,CONIAPE - Consórcio Público Intermunicipal do Agreste Pernambucano e Fronteiras
3012,CARUARUPREV - FUNDO PREVIDENCIÁRIO
43002,Câmara Municipal de Vereadores de Caruaru
43006,Fundação de Cultura de Caruaru
43008,Fundo Municipal de Saúde de Caruaru
43009,Fundo Municipal da Criança e Adolescente de Caruaru - FUNDECA
43010,Fundo Municipal de Assistência Social de Caruaru
43012,CARUARUPREV
43014,Fundo Municipal dos Direitos da Pessoa Idosa de Caruaru
43018,Central de Abastecimento de Caruaru - CEACA
43019,Autarquia de Urbanização e Meio Ambiente de Caruaru
43020,"Autarquia de Mobilidade, Trânsito e Transporte de Caruaru - AMTTC"
